454	OmariJohnson	Mem	F	28	4	18.8	5.5	2.8	1.8	0.5	0	0.75
229	JackCooley	Sac	F	26	7	12.5	5.7	4.3	0.9	0.14	0	0.43
308	JoshGray	Pho	F	24	5	17.3	6.4	2	2.4	1.6	0.4	1.4
4	AaronJackson	Hou	F	31	1	34.5	8	3	1	0	0	1
599	XavierSilas	Bos	G	30	2	3.8	0	1	0	0.5	0	0
579	VanderBlue	Lal	G	25	5	9	0.6	0.2	0.6	0.2	0	0.6
369	LorenzoBrown	Tor	G	27	14	9.9	2.3	1.1	0.9	0.36	0	0.21
116	DavidStockton	Uta	G	26	3	3.1	3.3	0	0	0	0	0.33
267	JaylenMorris	Atl	G	22	6	16.4	4.7	2.7	1.2	0.33	0.17	1
586	WayneSelden	Mem	G	23	35	19.8	9.3	1.6	1.9	0.51	0.14	1.54
22	AndreIngram	Lal	G	32	2	32.1	12	3	3.5	1.5	1.5	1.5
42	BenMoore	Ind	PF	22	2	4.7	0	0.5	0.5	0	0	0
80	ChrisBoucher	Gol	PF	25	1	1.3	0	1	0	0	0	0
313	JoshMcRoberts	Dal	PF	30	2	2.9	0	0	0	0	0	0
570	TylerLydon	Den	PF	21	1	2.2	0	0	0	0	0	0
578	UdonisHaslem	Mia	PF	37	14	5.1	0.6	0.7	0.4	0	0.14	0.14
315	JoshSmith	Nor	PF	32	3	3.9	0.7	1.3	0	0	0	0
593	WillieReed	Det	PF	27	3	3.1	0.7	0.3	0.3	0	0	0
94	D.J.Wilson	Mil	PF	21	22	3.2	1	0.5	0.1	0.14	0.05	0.18
195	GeorgesNiang	Uta	PF	24	9	3.5	1	1	0.3	0.22	0	0.33
605	ZhouQi	Hou	PF	22	18	6.9	1.2	1.2	0.1	0.11	0.78	0.56
287	JoelBolomboy	Mil	PF	24	6	6.3	1.5	1.7	0	0.33	0	0.33
386	MangokMathiang	Cha	PF	25	4	5	2	2.5	0	0.25	0	0
177	EricMoreland	Det	PF	26	67	12	2.1	4.1	1.2	0.46	0.76	0.63
436	NickCollison	Okc	PF	37	15	5	2.1	1.3	0.3	0	0	0.47
69	CalebSwanigan	Por	PF	20	27	7	2.3	2	0.5	0.19	0.11	0.67
81	ChrisMcCullough	Was	PF	22	19	4.7	2.4	1.3	0.2	0	0.26	0.11
208	GuerschonYabusele	Bos	PF	22	33	7.1	2.4	1.6	0.5	0.12	0.15	0.36
167	EkpeUdoh	Uta	PF	30	63	12.9	2.6	2.4	0.8	0.68	1.17	0.32
251	JamesMichaelMcAdoo	Phi	PF	25	3	6	2.7	0.7	0	0	0.33	0.33
510	SemiOjeleye	Bos	PF	23	73	15.8	2.7	2.2	0.3	0.29	0.05	0.34
112	DarrellArthur	Den	PF	29	19	7.4	2.8	0.8	0.5	0.42	0.16	0.79
543	TJLeaf	Ind	PF	20	53	8.7	2.9	1.5	0.2	0.09	0.08	0.19
256	JaredDudley	Pho	PF	32	48	14.3	3.2	1.9	1.6	0.52	0.21	0.58
318	JuanchoHernangomez	Den	PF	22	25	11.1	3.3	2.2	0.5	0.24	0.12	0.36
453	OkaroWhite	Mia	PF	25	6	13.3	3.3	1.8	0.3	0.17	0.17	0.17
413	MeyersLeonard	Por	PF	25	33	7.7	3.4	2.1	0.5	0.21	0	0.3
449	NoahVonleh	Por	PF	22	33	14.4	3.6	5.1	0.4	0.18	0.33	0.45
28	AnteZizic	Cle	PF	21	32	6.7	3.7	1.9	0.2	0.06	0.41	0.34
463	PatrickPatterson	Okc	PF	28	82	15.5	3.9	2.3	0.7	0.59	0.28	0.4
9	AlanWilliams	Pho	PF	25	5	14.1	4	4.4	1.6	1	0.2	1.4
