Min
JohnathanMotley,11.00,16.00,8.70,4.50,0.60,0.27,0.18,0.82
DirkNowitzki,77.00,24.70,12.00,5.70,1.60,0.56,0.58,0.66
KyleCollinsworth,32.00,15.00,3.20,3.30,1.80,0.53,0.28,0.75
DevinHarris,44.00,18.30,8.50,1.90,1.90,0.75,0.18,1.11
YogiFerrell,82.00,27.80,10.20,3.00,2.50,0.78,0.11,0.95
J.J.Barea,69.00,23.20,11.60,2.90,6.30,0.51,0.04,2.07
DennisSmithJr.,69.00,29.70,15.20,3.80,5.20,1.03,0.26,2.81
JalenJones,12.00,13.50,5.80,2.90,0.30,0.42,0.08,0.67
DougMcDermott,26.00,22.90,9.00,2.50,1.10,0.35,0.15,0.85
HarrisonBarnes,77.00,34.20,18.90,6.10,2.00,0.64,0.18,1.53
AntoniusCleveland,13.00,6.20,0.80,0.80,0.20,0.46,0.31,0.15
ScottyHopson,1.00,8.40,1.00,0.00,1.00,0.00,0.00,1.00
GianClavell,7.00,9.10,2.90,1.00,0.40,0.29,0.00,0.29
AaronHarrison,9.00,25.90,6.70,2.70,1.20,1.00,0.22,0.33
WesleyMatthews,63.00,33.80,12.70,3.10,2.70,1.21,0.25,1.32

Nyk
JoakimNoah,7.00,5.70,1.70,2.00,0.60,0.29,0.29,0.57
WillyHernangomez,26.00,9.00,4.30,2.60,0.80,0.31,0.27,1.00
EnesKanter,71.00,25.80,14.10,11.00,1.50,0.51,0.52,1.72
LanceThomas,73.00,18.50,4.10,2.40,0.60,0.41,0.19,0.55
IsaiahHicks,18.00,13.30,4.40,2.30,0.90,0.11,0.22,0.89
LukeKornet,20.00,16.30,6.70,3.20,1.30,0.25,0.80,0.60
KyleO'Quinn,77.00,18.00,7.10,6.10,2.10,0.45,1.27,1.30
KristapsPorzingis,48.00,32.40,22.70,6.60,1.20,0.75,2.40,1.94
RamonSessions,13.00,12.90,3.70,1.40,2.10,0.54,0.08,1.15
FrankNtilikina,78.00,21.90,5.90,2.30,3.20,0.85,0.23,1.68
JarrettJack,62.00,25.00,7.50,3.10,5.60,0.56,0.06,1.85
EmmanuelMudiay,22.00,22.40,8.80,2.60,3.90,0.91,0.32,1.86
